"","LON","LAT"
"479",-73.9582706413,40.7356169043
"480",-73.9524741762,40.7368829837
"481",-73.951771013,40.736950234
"482",-73.951642124,40.736962561
"483",-73.9549981583,40.7353155066
"484",-73.9550159769,40.7354216907
"485",-73.9550401898,40.7355659921
"486",-73.9550639465,40.7357075702
"487",-73.9550780842,40.7345677136
"488",-73.9550863349,40.7346194844
"489",-73.9551004068,40.7347077685
"490",-73.9551233367,40.7348516372
"491",-73.9551509561,40.7350249354
"492",-73.9551088319,40.735982076
"493",-73.9551204535,40.7360528902
"494",-73.9551298409,40.736110086
"495",-73.9551436979,40.7361945185
"496",-73.9551571093,40.7362762259
"497",-73.9551682841,40.7363443159
"498",-73.9551767779,40.7363960651
"499",-73.951242749,40.7369045107
"500",-73.9513129526,40.7368979883
"501",-73.951391753,40.7368906662
"502",-73.951479865,40.7368824781
"503",-73.9520300317,40.7368313536
"504",-73.9520672836,40.7368278931
"505",-73.9521059668,40.7368242982
"506",-73.9521654247,40.7368187722
"507",-73.9523352031,40.7368029954
"508",-73.952394661,40.7367974702
"509",-73.9544159686,40.73300536
"510",-73.9543286124,40.7330137001
"511",-73.9541889867,40.7330270298
"512",-73.953553152,40.7330877332
"513",-73.9533913281,40.7331031809
"514",-73.9532559984,40.7331161005
"515",-73.9531256799,40.7331285412
"516",-73.9530175592,40.733138862
"517",-73.9529244751,40.733147748
"518",-73.9527304303,40.7331662721
"519",-73.9526559639,40.7331733799
"520",-73.9524268321,40.7331952515
"521",-73.9523409079,40.7332034538
"522",-73.9541764081,40.7337458446
"523",-73.9540972944,40.7337534503
"524",-73.9539755805,40.7337651525
"525",-73.953858163,40.733776442
"526",-73.9535932579,40.73380191
"527",-73.953505195,40.7338103771
"528",-73.9533806182,40.733822353
"529",-73.9532667806,40.7338332966
"530",-73.9530731126,40.733851916
"531",-73.9529456707,40.7338641677
"532",-73.9528561762,40.7338727705
"533",-73.9527813586,40.7338799638
"534",-73.9526571379,40.7338919048
"535",-73.9525654958,40.7339007146
"536",-73.9525535734,40.7366973083
"537",-73.9525423842,40.7366314334
"538",-73.9524766384,40.7362443464
"539",-73.9582962547,40.7346642419
"540",-73.9582854155,40.73459612
"541",-73.9582326081,40.7342642303
"542",-73.9550821036,40.7365393944
"543",-73.9549818663,40.7365490357
"544",-73.9548386695,40.7365628115
"545",-73.9546381935,40.7365820963
"546",-73.954534377,40.7365920825
"547",-73.9540976255,40.7366340935
"548",-73.9539329493,40.7366499335
"549",-73.9538183918,40.7366609512
"550",-73.953596436,40.7366823004
"551",-73.9500144367,40.7350719377
"552",-73.9500309701,40.7351810045
"553",-73.9500661022,40.7354127736
"554",-73.9584101816,40.734363355
"555",-73.9584485057,40.7345909569
"556",-73.9531266223,40.7366236834
"557",-73.9531169375,40.7365692842
"558",-73.9531077385,40.7365176049
"559",-73.9523458282,40.7361791244
"560",-73.9519964034,40.7362125754
"561",-73.9518052228,40.7362308767
"562",-73.9514056752,40.7362691254
"563",-73.951210914,40.7362877691
"564",-73.9510712867,40.7363011337
"565",-73.950941685,40.7363135398
"566",-73.9507626759,40.7363306748
"567",-73.9506362944,40.7363427722
"568",-73.9505263827,40.7363532934
"569",-73.9503244606,40.7363726196
"570",-73.9522511132,40.7331398219
"571",-73.9522399214,40.7330722863
"572",-73.9522284597,40.7330031171
"573",-73.9522169072,40.7329334031
"574",-73.9522065288,40.7328707684
"575",-73.9521950671,40.7328016001
"576",-73.9521836043,40.7327324309
"577",-73.9521734051,40.7326708859
"578",-73.9502349496,40.7364586488
"579",-73.9502486087,40.7365414411
