X,lon,lat
426,-73.9696519,40.7848582
427,-73.9696519,40.7848582
428,-73.9748418,40.7717691
429,-74.0059413,40.7127837
430,-73.9712716,40.7676538
432,-73.9680253,40.773239
436,-74.0059413,40.7127837
438,-74.0059413,40.7127837
439,-73.9673704,40.7833163
440,-74.0059413,40.7127837
441,-73.9696519,40.7848582
446,-73.9696519,40.7848582
448,-73.9587593,40.7917758
450,-74.0059413,40.7127837
451,-73.9524239,40.7937474
452,-74.0059413,40.7127837
454,-73.9591121,40.7972518
455,-73.9606878,40.7947496
456,-74.0011837,40.7501121
458,-73.9421654,40.8242951
459,-74.0059413,40.7127837
460,-74.0059413,40.7127837
461,-73.9999961,40.7156618
462,-73.9796972,40.7116965
463,-73.9442483,40.8293431
464,-73.9936545,40.7112051
465,-73.9943891,40.768136
466,-74.0059413,40.7127837
467,-74.0059413,40.7127837
468,-73.9478302,40.8401036
469,-74.0059413,40.7127837
470,-74.0059413,40.7127837
471,-73.9346962,40.8591139
472,-73.9288178,40.865363
473,-74.0059413,40.7127837
474,-74.0059413,40.7127837
475,-74.0059413,40.7127837
476,-74.0059413,40.7127837
477,-74.0059413,40.7127837
478,-74.0059413,40.7127837
479,-74.0026617,40.7150321
480,-73.9324918,40.8557182
481,-73.9882916,40.7487079
482,-73.9807269,40.7197693
483,-73.9877176,40.7505423
484,-74.0059413,40.7127837
485,-73.9311212,40.8472369
486,-74.0059413,40.7127837
487,-73.9391667,40.8327778
488,-73.927688,40.8651603
489,-74.0059413,40.7127837
490,-74.0059413,40.7127837
491,-74.0059413,40.7127837
492,-74.0059413,40.7127837
493,-74.0059413,40.7127837
494,-74.0063953,40.7298199
495,-74.0059413,40.7127837
496,-73.9513202,40.8230268
497,-74.0059413,40.7127837
499,-74.0059413,40.7127837
500,-74.0059413,40.7127837
501,-74.0059413,40.7127837
502,-74.0059413,40.7127837
503,-74.0059413,40.7127837
