"","LAT","LON"
"484",-73.944909,40.805013
"485",-73.944909,40.805013
"486",-73.944909,40.805013
"487",-73.944909,40.805013
"488",-73.944909,40.805013
"489",-73.965084,40.757418
"490",-73.965084,40.757418
"491",-73.965084,40.757418
"492",-74.005544,40.672583
"493",-74.008235,40.673349
"494",-74.00485,40.673031
"495",-74.006915,40.672969
"496",-74.004145,40.672214
"497",-74.003688,40.671167
"498",-74.004046,40.672356
"499",-74.004303,40.672413
"500",-74.003744,40.672289
"501",-74.004648,40.672515
"502",-74.004303,40.672413
"503",-73.981774,40.773542
"504",-73.799894,40.586556
"505",-73.799973,40.586541
"506",-73.811051,40.584669
"507",-73.811003,40.584551
"508",-73.810694,40.584614
"509",-73.810683,40.584727
"510",-73.811217,40.584485
"511",-73.817686,40.58305
"512",-73.817877,40.582914
"513",-73.817578,40.582824
"514",-73.817185,40.582957
"515",-73.816689,40.583099
"516",-73.826296,40.580559
"517",-73.826272,40.580467
"518",-73.825958,40.580555
"519",-73.825969,40.580704
"520",-74.0032571552,40.7418393463
"521",-73.826621,40.580352
"522",-73.829855,40.579986
"523",-73.835761,40.577846
"524",-73.835788,40.577878
"525",-73.835601,40.577898
"526",-73.835664,40.577871
"527",-73.744988,40.596479
"528",-73.745389,40.596374
"529",-73.745791,40.596321
"530",-73.746262,40.596197
"531",-73.747247,40.595714
"532",-73.747612,40.595592
"533",-73.769814,40.687262
"534",-73.769815,40.68716
"535",-73.769559,40.687191
"536",-73.769559,40.687191
"537",-73.769559,40.687191
"538",-73.769559,40.687191
"539",-73.769559,40.687191
"540",-73.769559,40.687191
"541",-73.769559,40.687191
"542",-73.769559,40.687191
"543",-73.769559,40.687191
"544",-73.769559,40.687191
"545",-73.769559,40.687191
"546",-73.769559,40.687191
"547",-73.769559,40.687191
"548",-73.769559,40.687191
"549",-74.11457,40.625382
"550",-74.114738,40.625756
"551",-74.114211,40.624698
"552",-74.100443,40.644816
"553",-74.101038,40.644885
"554",-74.101629,40.645123
"555",-74.102285,40.645317
"556",-74.10288,40.645439
"557",-74.103398,40.645453
"558",-74.101846,40.641798
"559",-74.101869,40.641982
"560",-74.102404,40.64382
"561",-74.102002,40.641797
"562",-74.102026,40.641963
"563",-74.102245,40.643782
